"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Devers, Rafael",646240,-0.4495647615362367,-0.4495647615362367,-0.5694552477772922,,0.11989048624105555,,,,,774,0,747,0,27,0,0,0,0
"Beck, Jordan",687597,-0.45167115388294077,-0.45167115388294077,-1.5959273828299636,1.1442562289470235,,,,,,3478,0,0,0,0,0,3472,6,0
"Alcántara, Sergio",642727,-0.4660403468002161,-0.4660403468002161,-0.4660403468002161,,0,,,,,24,0,0,0,18,6,0,0,0
"Campero, Gustavo",672569,-0.4696649664632252,-0.4696649664632252,-1.348246047623878,0.8785810811606526,,,,,,455,0,0,0,0,0,30,12,413
"Tauchman, Mike",643565,-0.47148460619968313,-0.47148460619968313,-0.27528957281024263,-0.1961950333894381,,,,,,1713,0,0,0,0,0,0,0,1713
"Stevenson, Cal",670276,-0.4754636490368426,-0.4754636490368426,-0.5668216267174432,0.09135797768060056,,,,,,44,0,0,0,0,0,0,44,0
"Valera, George",671655,-0.47571399232157047,-0.47571399232157047,-0.43739179100589975,-0.03832220131567074,,,,,,96,0,0,0,0,0,0,0,96
"Hassell III, Robert",690987,-0.48928466923662983,-0.48928466923662983,-1.0631289783564744,0.5738443091198463,,,,,,1419,0,0,0,0,0,84,1131,204
"Barnhart, Tucker",571466,-0.5036510215672131,,,,,-0.5036510215672131,-0.1291139252014194,-0.11186137477841059,-0.26267572158738295,121,115,0,0,0,0,0,0,0
"Stubbs, Garrett",596117,-0.5177226690096112,,,,,-0.5177226690096112,-0.5466346964811147,,0.028912027471503395,18,18,0,0,0,0,0,0,0
"Sogard, Nick",686765,-0.5252593091117849,-0.5252593091117849,-0.43581413762319643,-0.014845581632916419,-0.07459958985567075,,,,,661,0,283,195,117,15,0,0,51
